TrajectoryID,Stage,Patient,AUTOPHAGY,CELL CYCLE,CELL-CELL COMMUNICATION,CELLULAR RESPONSES TO STIMULI,CHROMATIN ORGANIZATION,CIRCADIAN CLOCK,DEVELOPMENTAL BIOLOGY,DNA REPAIR,DNA REPLICATION,DRUG ADME,EXTRACELLULAR MATRIX ORGANIZATION,HEMOSTASIS,METABOLISM OF RNA,MUSCLE CONTRACTION,NEURONAL SYSTEM,ORGANELLE BIOGENESIS AND MAINTENANCE,PROGRAMMED CELL DEATH,PROTEIN LOCALIZATION,REPRODUCTION,SENSORY PERCEPTION,TRANSPORT OF SMALL MOLECULES,VESICLE-MEDIATED TRANSPORT
28,3,TCGA-A7-A26E-01,[-1.0658011   0.56032836  0.        ],[2.4660912 0.        1.       ],[-1.4224315   0.37105855  0.        ],[0.66216475 1.         0.        ],[1.042187  0.7295815 0.       ],[0.45148173 0.99965703 0.        ],[-1.1404995  0.5525947  0.       ],[1.9782994 0.        1.       ],[1.8744503  0.00257202 1.        ],[-0.8627065  0.8121228  0.       ],[-1.4026985  0.2796176  0.       ],[-0.90246975  0.825572    0.        ],[-0.7299508  0.8534014  0.       ],[-1.7506171   0.04610332 -1.        ],[-1.1802812   0.55521303  0.        ],[1.0476592  0.88691497 0.        ],[0.5935839 1.        0.       ],[-0.7927702   0.84732515  0.        ],[0.99512583 0.7590979  0.        ],[-1.1346064   0.48691088  0.        ],[-1.2815801   0.41194493  0.        ],[0.91906244 0.91035277 0.        ]
29,2,TCGA-EW-A423-01,[-0.8135196  1.         0.       ],[2.2657895 0.        1.       ],[-1.2902018   0.45303696  0.        ],[-0.4594679  1.         0.       ],[-0.45915273  0.99862427  0.        ],[-1.2032993   0.49710524  0.        ],[-1.225448    0.52872765  0.        ],[1.7463995 0.0098116 1.       ],[2.0020642 0.        1.       ],[-0.7457708  1.         0.       ],[-1.3256663   0.48812762  0.        ],[-0.7865073  1.         0.       ],[0.9580228 0.7497643 0.       ],[-1.5030988   0.43513563  0.        ],[-1.0894291   0.63744324  0.        ],[0.6296241 1.        0.       ],[0.47772023 0.9995403  0.        ],[-0.5318131  1.         0.       ],[1.5030535  0.04297115 1.        ],[-1.4930764   0.23619193  0.        ],[-1.1801136   0.48238873  0.        ],[-0.5963162  1.         0.       ]
29,3,TCGA-A7-A425-01,[0.561017  0.9926336 0.       ],[2.2189412 0.        1.       ],[-1.4149648  0.9464035  0.       ],[0.7872343 1.        0.       ],[-0.56841147  1.          0.        ],[-1.148031  1.        0.      ],[-0.84029055  1.          0.        ],[1.7232474  0.00730894 1.        ],[1.8140914  0.00414472 1.        ],[0.7276487 1.        0.       ],[-0.53244054  1.          0.        ],[-0.59611803  1.          0.        ],[1.1770514  0.36639538 0.        ],[-0.9024194  1.         0.       ],[-0.97921175  1.          0.        ],[0.7645122 1.        0.       ],[0.6890751 1.        0.       ],[-0.33755127  0.9999231   0.        ],[1.2596202 0.2718863 0.       ],[-1.4061617   0.49658966  0.        ],[-0.8740453  1.         0.       ],[-0.8018373  1.         0.       ]
30,2,TCGA-HN-A2OB-01,[-0.54846156  1.          0.        ],[0.8793688 1.        0.       ],[-1.639068    0.28951097  0.        ],[-0.5221458  1.         0.       ],[-0.5399549  1.         0.       ],[-0.61824715  1.          0.        ],[-0.77457404  1.          0.        ],[-0.47197708  1.          0.        ],[0.5926161 1.        0.       ],[-0.5603657  1.         0.       ],[1.5172747  0.13217962 0.        ],[0.82149523 1.         0.        ],[-0.77379674  1.          0.        ],[-1.2333676  1.         0.       ],[1.1736622 0.6843433 0.       ],[0.5310688  0.99611735 0.        ],[-0.9592043  1.         0.       ],[-0.39884675  0.99918777  0.        ],[-1.5830358   0.23079933  0.        ],[1.0361834 0.9017754 0.       ],[-1.0877212  1.         0.       ],[-0.52129227  1.          0.        ]
30,3,TCGA-A7-A5ZX-01,[0.637746 1.       0.      ],[0.8232409 1.        0.       ],[-0.85139275  1.          0.        ],[-0.9014396  1.         0.       ],[-0.6000732  1.         0.       ],[-1.3129143   0.97778016  0.        ],[-0.6539623  1.         0.       ],[0.752698 1.       0.      ],[0.7922827 1.        0.       ],[-0.74204874  1.          0.        ],[1.2206429 1.        0.       ],[-0.73413885  1.          0.        ],[-0.6491819  1.         0.       ],[-0.93667984  1.          0.        ],[1.0082135 1.        0.       ],[0.50827646 0.9990209  0.        ],[-1.4424864  0.955318   0.       ],[-0.5799952   0.97035927  0.        ],[0.81232285 1.         0.        ],[-1.0052387  1.         0.       ],[-1.110654  1.        0.      ],[-0.7843406  1.         0.       ]
31,2,TCGA-W8-A86G-01,[-0.58789724  1.          0.        ],[1.4658353  0.16452566 0.        ],[-0.917794  1.        0.      ],[-0.48821884  0.99555504  0.        ],[-0.5899643  1.         0.       ],[-1.28811  1.       0.     ],[-0.9087824  1.         0.       ],[1.0827703  0.70119876 0.        ],[0.9275017 1.        0.       ],[-0.8204548  0.9674398  0.       ],[0.7779687 1.        0.       ],[-0.8772186   0.93571347  0.        ],[0.69685465 1.         0.        ],[-0.9192234  1.         0.       ],[-1.0267267  1.         0.       ],[0.45688874 0.9997748  0.        ],[-0.59354967  1.          0.        ],[-0.91791326  1.          0.        ],[1.2069814 0.5158129 0.       ],[-0.9002666  0.9819736  0.       ],[-0.9355334  1.         0.       ],[-1.0105346  1.         0.       ]
31,3,TCGA-A7-A5ZX-01,[0.637746 1.       0.      ],[0.8232409 1.        0.       ],[-0.85139275  1.          0.        ],[-0.9014396  1.         0.       ],[-0.6000732  1.         0.       ],[-1.3129143   0.97778016  0.        ],[-0.6539623  1.         0.       ],[0.752698 1.       0.      ],[0.7922827 1.        0.       ],[-0.74204874  1.          0.        ],[1.2206429 1.        0.       ],[-0.73413885  1.          0.        ],[-0.6491819  1.         0.       ],[-0.93667984  1.          0.        ],[1.0082135 1.        0.       ],[0.50827646 0.9990209  0.        ],[-1.4424864  0.955318   0.       ],[-0.5799952   0.97035927  0.        ],[0.81232285 1.         0.        ],[-1.0052387  1.         0.       ],[-1.110654  1.        0.      ],[-0.7843406  1.         0.       ]
32,2,TCGA-A7-A4SA-01,[0.6996907 1.        0.       ],[1.9255730e+00 1.1111111e-03 1.0000000e+00],[-1.4052202   0.92025435  0.        ],[0.6106966  0.98597825 0.        ],[-0.3310503  1.         0.       ],[-0.8780053  1.         0.       ],[-0.7095286  1.         0.       ],[1.718408   0.00512735 1.        ],[1.7460121  0.00534758 1.        ],[0.88330716 1.         0.        ],[0.71634054 1.         0.        ],[0.7884304 1.        0.       ],[-1.2414888  1.         0.       ],[-1.0685078  1.         0.       ],[-0.9471289  1.         0.       ],[0.8070501 1.        0.       ],[0.6839374 1.        0.       ],[-0.40458015  1.          0.        ],[-1.1125593  1.         0.       ],[-0.7956519  1.         0.       ],[-0.94693094  1.          0.        ],[-0.7572165  1.         0.       ]
32,3,TCGA-AC-A2FE-01,[-0.6731705  1.         0.       ],[2.1644177 0.        1.       ],[-1.1927203   0.78029567  0.        ],[0.61144453 1.         0.        ],[-0.38812956  0.9998517   0.        ],[-0.7447296  1.         0.       ],[-0.96874017  1.          0.        ],[1.6372949  0.01182713 1.        ],[1.7468534  0.00572327 1.        ],[-0.5512398  1.         0.       ],[-0.96117514  1.          0.        ],[1.0778491  0.60829806 0.        ],[-0.5880285  1.         0.       ],[-1.2954929  1.         0.       ],[0.95538443 0.78692895 0.        ],[0.6094031  0.98830533 0.        ],[0.8707704 0.9272007 0.       ],[-0.49229285  1.          0.        ],[1.2878411  0.19707882 0.        ],[-1.2079669  1.         0.       ],[-0.8679915  1.         0.       ],[1.000145   0.75293547 0.        ]
33,2,TCGA-BH-A2L8-01,[0.6698684 1.        0.       ],[2.0440648 0.        1.       ],[-1.4282725   0.19701958  0.        ],[0.39200798 1.         0.        ],[-0.49824384  1.          0.        ],[-1.1342024   0.60740125  0.        ],[-1.4669268   0.31979397  0.        ],[1.5663337  0.03103669 1.        ],[1.5850872  0.03979688 1.        ],[-0.8071259   0.94277537  0.        ],[-1.0140322  0.7052921  0.       ],[1.0319763  0.77064425 0.        ],[0.81565547 1.         0.        ],[-1.6244265   0.22266452  0.        ],[-1.0701666  0.6583891  0.       ],[1.1979932  0.37483266 0.        ],[1.0237525  0.67167085 0.        ],[-0.48755813  0.99753034  0.        ],[-0.85863703  0.9212801   0.        ],[-1.4620802   0.22044954  0.        ],[-0.99259543  0.6640158   0.        ],[0.78330225 1.         0.        ]
33,3,TCGA-AC-A2FE-01,[-0.6731705  1.         0.       ],[2.1644177 0.        1.       ],[-1.1927203   0.78029567  0.        ],[0.61144453 1.         0.        ],[-0.38812956  0.9998517   0.        ],[-0.7447296  1.         0.       ],[-0.96874017  1.          0.        ],[1.6372949  0.01182713 1.        ],[1.7468534  0.00572327 1.        ],[-0.5512398  1.         0.       ],[-0.96117514  1.          0.        ],[1.0778491  0.60829806 0.        ],[-0.5880285  1.         0.       ],[-1.2954929  1.         0.       ],[0.95538443 0.78692895 0.        ],[0.6094031  0.98830533 0.        ],[0.8707704 0.9272007 0.       ],[-0.49229285  1.          0.        ],[1.2878411  0.19707882 0.        ],[-1.2079669  1.         0.       ],[-0.8679915  1.         0.       ],[1.000145   0.75293547 0.        ]
34,2,TCGA-AO-A1KO-01,[-0.8403983  1.         0.       ],[1.0463771 0.5588785 0.       ],[-1.4932554   0.39059412  0.        ],[-0.642319  1.        0.      ],[0.92266285 0.7233703  0.        ],[1.1425743 1.        0.       ],[-1.0917306  0.8198835  0.       ],[1.115585   0.51353294 0.        ],[1.1418585  0.68615437 0.        ],[0.7604405  0.88558555 0.        ],[-0.5130283  1.         0.       ],[-1.035132  0.866269  0.      ],[-0.35759413  0.99949884  0.        ],[-1.5728292  0.3802944  0.       ],[-1.1191759   0.86698335  0.        ],[-0.40560722  1.          0.        ],[-0.7602749  1.         0.       ],[-0.3771778  1.         0.       ],[-1.2581941  0.7365118  0.       ],[-1.3357775  0.6666753  0.       ],[-1.256575   0.5932673  0.       ],[-0.69997156  1.          0.        ]
34,3,TCGA-AC-A2FK-01,[-0.6739323  1.         0.       ],[-1.1779407  1.         0.       ],[-0.6823203  1.         0.       ],[-0.76890975  1.          0.        ],[0.5678047 1.        0.       ],[-0.5681024  1.         0.       ],[-0.83823746  1.          0.        ],[-0.41762578  0.9988941   0.        ],[-1.1799175  1.         0.       ],[-0.7220543  1.         0.       ],[-0.85528797  1.          0.        ],[-0.627265  1.        0.      ],[-0.6455902  1.         0.       ],[-1.6417879  0.3948064  0.       ],[-1.2190549  1.         0.       ],[0.5530678 0.9965447 0.       ],[-0.55458575  1.          0.        ],[-0.5809993  1.         0.       ],[0.917299 1.       0.      ],[-1.2681212  1.         0.       ],[-1.104007  1.        0.      ],[-0.6674942  1.         0.       ]
35,1,TCGA-E2-A14U-01,[-0.68527484  1.          0.        ],[-0.84771985  1.          0.        ],[-0.92468363  0.92792934  0.        ],[-0.39841875  1.          0.        ],[-0.3093524  1.         0.       ],[-0.75787556  1.          0.        ],[-1.0913498  0.8927342  0.       ],[0.794387 1.       0.      ],[0.65547526 0.97561765 0.        ],[-1.047307   0.8067979  0.       ],[-1.2190956   0.94196975  0.        ],[-1.0598474   0.87051845  0.        ],[0.9869831 1.        0.       ],[-1.545246    0.61623377  0.        ],[-1.4714009  0.5018409  0.       ],[0.70298237 1.         0.        ],[-0.8159382  0.9911305  0.       ],[-0.5654105  1.         0.       ],[-0.9676798  0.9114638  0.       ],[-1.3686051  0.5964403  0.       ],[-1.1067077   0.98372877  0.        ],[-1.1218715  1.         0.       ]
35,2,TCGA-B6-A0RQ-01,[-0.5927217  1.         0.       ],[0.68641794 1.         0.        ],[-1.0187681  1.         0.       ],[-0.6943844  1.         0.       ],[0.54331064 1.         0.        ],[-0.6120368  1.         0.       ],[-0.6061797  1.         0.       ],[0.6101804 1.        0.       ],[0.5722931 1.        0.       ],[-0.7604149  1.         0.       ],[-0.99888736  1.          0.        ],[-0.8085009  1.         0.       ],[-0.45482105  1.          0.        ],[-1.3271185  1.         0.       ],[-1.117609  1.        0.      ],[0.48076743 0.9971014  0.        ],[-0.4722448  1.         0.       ],[-0.3832966  0.9975581  0.       ],[-1.1401399  1.         0.       ],[-0.7531672  1.         0.       ],[-1.0762804  1.         0.       ],[-0.73302865  1.          0.        ]
35,3,TCGA-AC-A2FK-01,[-0.6739323  1.         0.       ],[-1.1779407  1.         0.       ],[-0.6823203  1.         0.       ],[-0.76890975  1.          0.        ],[0.5678047 1.        0.       ],[-0.5681024  1.         0.       ],[-0.83823746  1.          0.        ],[-0.41762578  0.9988941   0.        ],[-1.1799175  1.         0.       ],[-0.7220543  1.         0.       ],[-0.85528797  1.          0.        ],[-0.627265  1.        0.      ],[-0.6455902  1.         0.       ],[-1.6417879  0.3948064  0.       ],[-1.2190549  1.         0.       ],[0.5530678 0.9965447 0.       ],[-0.55458575  1.          0.        ],[-0.5809993  1.         0.       ],[0.917299 1.       0.      ],[-1.2681212  1.         0.       ],[-1.104007  1.        0.      ],[-0.6674942  1.         0.       ]
36,2,TCGA-A2-A0CO-01,[0.7547823 1.        0.       ],[-0.71450865  1.          0.        ],[0.7958623 1.        0.       ],[0.48352394 1.         0.        ],[-0.66206294  1.          0.        ],[0.4892897 1.        0.       ],[0.7962732 1.        0.       ],[0.69932574 1.         0.        ],[0.59208614 1.         0.        ],[-0.3907267  0.9991777  0.       ],[0.84396863 1.         0.        ],[1.1417851 1.        0.       ],[0.562775 1.       0.      ],[0.72181916 1.         0.        ],[-0.8912543  1.         0.       ],[0.43000144 0.9995389  0.        ],[0.8511203 1.        0.       ],[-0.915454  1.        0.      ],[-1.8617944   0.01433392 -1.        ],[-1.0453615  1.         0.       ],[0.816407 1.       0.      ],[0.8004811 1.        0.       ]
36,3,TCGA-AC-A3BB-01,[0.6936218 1.        0.       ],[1.5804473  0.08162559 0.        ],[-1.4404781   0.68997145  0.        ],[0.45611474 0.9996778  0.        ],[-0.6204575   0.96985584  0.        ],[-1.1738343  0.7541798  0.       ],[-0.7358957  0.9653938  0.       ],[1.163148   0.75937074 0.        ],[1.4491794  0.14686553 0.        ],[-0.7706514  1.         0.       ],[1.0924783  0.85635555 0.        ],[1.0582858 0.8288312 0.       ],[0.9590938 1.        0.       ],[-1.1664704  0.5808682  0.       ],[-0.9110947  0.9662022  0.       ],[0.54968977 1.         0.        ],[0.8742963 1.        0.       ],[0.6214759 1.        0.       ],[-0.8247313  1.         0.       ],[-1.102618   0.5945845  0.       ],[-1.2071669  0.9862755  0.       ],[0.7271125 1.        0.       ]
37,2,TCGA-AC-A5XS-01,[0.56402904 0.99331677 0.        ],[2.337593 0.       1.      ],[-0.9202958  0.943453   0.       ],[0.74589807 1.         0.        ],[-0.6167854  1.         0.       ],[-0.9511674   0.98660195  0.        ],[-1.0363393   0.87947243  0.        ],[1.6082104  0.01989934 1.        ],[2.1375272 0.        1.       ],[-1.0585246  1.         0.       ],[-0.6950753  1.         0.       ],[-0.5999468  1.         0.       ],[0.93640494 0.93012494 0.        ],[-1.0906539  1.         0.       ],[-1.3329676   0.73663557  0.        ],[-0.37442547  0.9993592   0.        ],[1.0977659 0.5748555 0.       ],[0.60905653 1.         0.        ],[-1.038278  1.        0.      ],[-1.4641273  0.5468533  0.       ],[-1.2740467  0.7077019  0.       ],[-0.9049203   0.87948406  0.        ]
37,3,TCGA-AC-A3BB-01,[0.6936218 1.        0.       ],[1.5804473  0.08162559 0.        ],[-1.4404781   0.68997145  0.        ],[0.45611474 0.9996778  0.        ],[-0.6204575   0.96985584  0.        ],[-1.1738343  0.7541798  0.       ],[-0.7358957  0.9653938  0.       ],[1.163148   0.75937074 0.        ],[1.4491794  0.14686553 0.        ],[-0.7706514  1.         0.       ],[1.0924783  0.85635555 0.        ],[1.0582858 0.8288312 0.       ],[0.9590938 1.        0.       ],[-1.1664704  0.5808682  0.       ],[-0.9110947  0.9662022  0.       ],[0.54968977 1.         0.        ],[0.8742963 1.        0.       ],[0.6214759 1.        0.       ],[-0.8247313  1.         0.       ],[-1.102618   0.5945845  0.       ],[-1.2071669  0.9862755  0.       ],[0.7271125 1.        0.       ]
38,2,TCGA-AC-A62Y-01,[-0.50466746  0.98739296  0.        ],[2.427858 0.       1.      ],[-1.599706   0.1306475  0.       ],[0.91786575 1.         0.        ],[-0.54508626  1.          0.        ],[-0.87075967  0.9824549   0.        ],[-1.1403857   0.76554614  0.        ],[1.9306668e+00 7.8947365e-04 1.0000000e+00],[2.0756688 0.        1.       ],[-0.68622464  1.          0.        ],[-0.9025543  1.         0.       ],[-0.5334993  1.         0.       ],[0.80014884 0.9348597  0.        ],[-1.3042238   0.39252496  0.        ],[-1.3198693   0.47419497  0.        ],[0.5227784  0.99710524 0.        ],[0.8860018  0.88020325 0.        ],[0.91707563 0.92440796 0.        ],[1.2816639  0.24548401 0.        ],[-1.4477919   0.26604185  0.        ],[-0.9557969  1.         0.       ],[-0.9445695  1.         0.       ]
38,3,TCGA-AC-A3BB-01,[0.6936218 1.        0.       ],[1.5804473  0.08162559 0.        ],[-1.4404781   0.68997145  0.        ],[0.45611474 0.9996778  0.        ],[-0.6204575   0.96985584  0.        ],[-1.1738343  0.7541798  0.       ],[-0.7358957  0.9653938  0.       ],[1.163148   0.75937074 0.        ],[1.4491794  0.14686553 0.        ],[-0.7706514  1.         0.       ],[1.0924783  0.85635555 0.        ],[1.0582858 0.8288312 0.       ],[0.9590938 1.        0.       ],[-1.1664704  0.5808682  0.       ],[-0.9110947  0.9662022  0.       ],[0.54968977 1.         0.        ],[0.8742963 1.        0.       ],[0.6214759 1.        0.       ],[-0.8247313  1.         0.       ],[-1.102618   0.5945845  0.       ],[-1.2071669  0.9862755  0.       ],[0.7271125 1.        0.       ]
39,2,TCGA-AR-A5QM-01,[-0.84382993  0.8965541   0.        ],[2.2149704 0.        1.       ],[-1.2830337   0.66293013  0.        ],[-0.5415367  1.         0.       ],[0.39782652 1.         0.        ],[-1.2008727   0.45676008  0.        ],[-1.0319339  0.6417934  0.       ],[1.5142105  0.04446495 1.        ],[1.7309055  0.00579339 1.        ],[-1.1591256   0.46430555  0.        ],[-1.2641746   0.53126746  0.        ],[0.8221346 1.        0.       ],[-0.41380855  1.          0.        ],[-1.3833064  1.         0.       ],[-1.3586773  0.7074607  0.       ],[0.5643475 1.        0.       ],[0.77082133 1.         0.        ],[-0.36279103  1.          0.        ],[-1.2441111   0.46217206  0.        ],[-0.8808928  0.9061783  0.       ],[0.8457662 1.        0.       ],[0.73958486 1.         0.        ]
39,3,TCGA-AC-A3BB-01,[0.6936218 1.        0.       ],[1.5804473  0.08162559 0.        ],[-1.4404781   0.68997145  0.        ],[0.45611474 0.9996778  0.        ],[-0.6204575   0.96985584  0.        ],[-1.1738343  0.7541798  0.       ],[-0.7358957  0.9653938  0.       ],[1.163148   0.75937074 0.        ],[1.4491794  0.14686553 0.        ],[-0.7706514  1.         0.       ],[1.0924783  0.85635555 0.        ],[1.0582858 0.8288312 0.       ],[0.9590938 1.        0.       ],[-1.1664704  0.5808682  0.       ],[-0.9110947  0.9662022  0.       ],[0.54968977 1.         0.        ],[0.8742963 1.        0.       ],[0.6214759 1.        0.       ],[-0.8247313  1.         0.       ],[-1.102618   0.5945845  0.       ],[-1.2071669  0.9862755  0.       ],[0.7271125 1.        0.       ]
40,2,TCGA-OK-A5Q2-01,[-0.69800025  0.9231837   0.        ],[2.3634093 0.        1.       ],[-1.0804745  0.7129085  0.       ],[0.58816147 1.         0.        ],[0.50850683 0.99815506 0.        ],[-1.2538291  1.         0.       ],[0.7599475 1.        0.       ],[1.9079902e+00 1.2175324e-03 1.0000000e+00],[1.8078891  0.00317444 1.        ],[0.7250404 1.        0.       ],[0.96811074 1.         0.        ],[1.203811   0.43201035 0.        ],[0.7383998 1.        0.       ],[-0.9652444  0.8411423  0.       ],[-0.9141212   0.79508936  0.        ],[0.8416693 1.        0.       ],[0.58024156 1.         0.        ],[-1.158613   0.7761046  0.       ],[1.285889   0.29949364 0.        ],[0.96676856 1.         0.        ],[-0.86259425  0.78459966  0.        ],[1.0314503 1.        0.       ]
40,3,TCGA-AC-A3BB-01,[0.6936218 1.        0.       ],[1.5804473  0.08162559 0.        ],[-1.4404781   0.68997145  0.        ],[0.45611474 0.9996778  0.        ],[-0.6204575   0.96985584  0.        ],[-1.1738343  0.7541798  0.       ],[-0.7358957  0.9653938  0.       ],[1.163148   0.75937074 0.        ],[1.4491794  0.14686553 0.        ],[-0.7706514  1.         0.       ],[1.0924783  0.85635555 0.        ],[1.0582858 0.8288312 0.       ],[0.9590938 1.        0.       ],[-1.1664704  0.5808682  0.       ],[-0.9110947  0.9662022  0.       ],[0.54968977 1.         0.        ],[0.8742963 1.        0.       ],[0.6214759 1.        0.       ],[-0.8247313  1.         0.       ],[-1.102618   0.5945845  0.       ],[-1.2071669  0.9862755  0.       ],[0.7271125 1.        0.       ]
41,2,TCGA-PE-A5DE-01,[-0.5044624  1.         0.       ],[2.3702226 0.        1.       ],[-0.72346085  1.          0.        ],[0.703202 1.       0.      ],[0.43590567 0.99975    0.        ],[-1.0605868  0.6429842  0.       ],[-1.0240583  0.6420415  0.       ],[1.8611977e+00 4.7619050e-04 1.0000000e+00],[1.9389086 0.        1.       ],[-1.6508251  0.1274667  0.       ],[-0.7193132  1.         0.       ],[1.1299809  0.46123844 0.        ],[0.9426704  0.97000146 0.        ],[-1.5682381   0.12504926  0.        ],[-1.4725088   0.13687935  0.        ],[0.5538599 1.        0.       ],[1.2606499  0.25919884 0.        ],[-0.36176747  0.9997468   0.        ],[-1.1490119  0.5306364  0.       ],[-1.490326    0.16058573  0.        ],[-1.4248796   0.15395735  0.        ],[0.8828909 1.        0.       ]
41,3,TCGA-AC-A3BB-01,[0.6936218 1.        0.       ],[1.5804473  0.08162559 0.        ],[-1.4404781   0.68997145  0.        ],[0.45611474 0.9996778  0.        ],[-0.6204575   0.96985584  0.        ],[-1.1738343  0.7541798  0.       ],[-0.7358957  0.9653938  0.       ],[1.163148   0.75937074 0.        ],[1.4491794  0.14686553 0.        ],[-0.7706514  1.         0.       ],[1.0924783  0.85635555 0.        ],[1.0582858 0.8288312 0.       ],[0.9590938 1.        0.       ],[-1.1664704  0.5808682  0.       ],[-0.9110947  0.9662022  0.       ],[0.54968977 1.         0.        ],[0.8742963 1.        0.       ],[0.6214759 1.        0.       ],[-0.8247313  1.         0.       ],[-1.102618   0.5945845  0.       ],[-1.2071669  0.9862755  0.       ],[0.7271125 1.        0.       ]
42,1,TCGA-GM-A2DO-01,[-0.54616463  1.          0.        ],[2.4503887 0.        1.       ],[-1.3199086  0.4272802  0.       ],[-0.35694653  0.9996748   0.        ],[-0.37015024  1.          0.        ],[-0.9909995  1.         0.       ],[-1.1639107   0.73316044  0.        ],[1.7857052e+00 1.5944947e-03 1.0000000e+00],[1.9075282 0.        1.       ],[-0.43341026  1.          0.        ],[-0.93601173  1.          0.        ],[-0.77991045  1.          0.        ],[1.0686913  0.32318988 0.        ],[-1.252683    0.52135026  0.        ],[-1.3657969  0.3910745  0.       ],[-0.8276847  1.         0.       ],[1.1120071  0.32511714 0.        ],[-0.63027984  1.          0.        ],[-0.8419046  1.         0.       ],[-1.4564521  0.5465605  0.       ],[-1.4268756  0.3537885  0.       ],[-0.9194014  1.         0.       ]
42,2,TCGA-EW-A3E8-01,[-0.71730214  1.          0.        ],[2.0410178 0.        1.       ],[-1.3755537  0.3133366  0.       ],[0.3898356 1.        0.       ],[-0.7037877   0.93133897  0.        ],[-1.3662473  0.216542   0.       ],[-1.1176142   0.33603704  0.        ],[1.5745996  0.03929879 1.        ],[1.6029842  0.04337811 1.        ],[0.6189067 1.        0.       ],[0.71437556 1.         0.        ],[0.8885602 1.        0.       ],[0.8891718 1.        0.       ],[-1.53189     0.30677968  0.        ],[-1.3426191   0.17970288  0.        ],[0.38622534 1.         0.        ],[0.8973658 1.        0.       ],[0.49866077 1.         0.        ],[1.2382324 0.4217357 0.       ],[0.83181095 1.         0.        ],[-1.1201254   0.39810854  0.        ],[0.83695525 1.         0.        ]
42,3,TCGA-AC-A3BB-01,[0.6936218 1.        0.       ],[1.5804473  0.08162559 0.        ],[-1.4404781   0.68997145  0.        ],[0.45611474 0.9996778  0.        ],[-0.6204575   0.96985584  0.        ],[-1.1738343  0.7541798  0.       ],[-0.7358957  0.9653938  0.       ],[1.163148   0.75937074 0.        ],[1.4491794  0.14686553 0.        ],[-0.7706514  1.         0.       ],[1.0924783  0.85635555 0.        ],[1.0582858 0.8288312 0.       ],[0.9590938 1.        0.       ],[-1.1664704  0.5808682  0.       ],[-0.9110947  0.9662022  0.       ],[0.54968977 1.         0.        ],[0.8742963 1.        0.       ],[0.6214759 1.        0.       ],[-0.8247313  1.         0.       ],[-1.102618   0.5945845  0.       ],[-1.2071669  0.9862755  0.       ],[0.7271125 1.        0.       ]
43,2,TCGA-AC-A3TN-01,[-0.5372042  1.         0.       ],[1.8842515e+00 9.4804703e-04 1.0000000e+00],[-1.356505  1.        0.      ],[-0.30861035  1.          0.        ],[-0.47180033  1.          0.        ],[-1.0685924   0.94314903  0.        ],[-1.0793769  1.         0.       ],[1.2983316  0.16036443 0.        ],[1.9181356 0.        1.       ],[-1.0189929   0.99675703  0.        ],[-0.74938303  1.          0.        ],[-0.8800831  1.         0.       ],[1.0667487 0.4178923 0.       ],[-1.3032483   0.97797596  0.        ],[-1.2416415   0.71105933  0.        ],[0.56786877 0.9909556  0.        ],[-0.6293796  1.         0.       ],[-0.3943985  1.         0.       ],[-1.0037882   0.93071413  0.        ],[-1.2986125   0.67398065  0.        ],[-1.162769   0.8649493  0.       ],[-0.6176197  1.         0.       ]
43,3,TCGA-AC-A3TM-01,[-0.54292387  1.          0.        ],[2.010776   0.00304878 1.        ],[-0.930547  1.        0.      ],[0.6368977  0.97344655 0.        ],[-0.860323  1.        0.      ],[-1.2054065  0.8461912  0.       ],[-0.9330417  1.         0.       ],[1.2364036  0.28604645 0.        ],[1.9079301e+00 1.5243902e-03 1.0000000e+00],[-1.137402   0.7857545  0.       ],[-0.9338038  1.         0.       ],[-0.8153182  1.         0.       ],[0.94941324 0.84687483 0.        ],[-1.2444574  0.9084275  0.       ],[-1.3930545   0.52832985  0.        ],[-0.34881723  0.9996683   0.        ],[0.7041281 1.        0.       ],[-0.42578608  1.          0.        ],[-0.78786194  1.          0.        ],[-1.3961773  1.         0.       ],[-1.147498   0.8994031  0.       ],[-0.615739  1.        0.      ]
44,2,TCGA-E9-A3X8-01,[0.7305848 1.        0.       ],[1.1704772 0.355058  0.       ],[-0.9734  1.      0.    ],[-0.40922803  1.          0.        ],[-0.7677661  1.         0.       ],[-1.0465907  1.         0.       ],[-0.7687257  1.         0.       ],[-0.8702523  1.         0.       ],[1.6153985  0.07803296 0.        ],[-0.50516033  1.          0.        ],[-0.5683897  1.         0.       ],[-0.38843882  0.9968145   0.        ],[1.2132738  0.43752447 0.        ],[-0.5818792  1.         0.       ],[-1.0553899  1.         0.       ],[-0.41674465  1.          0.        ],[-0.41007292  1.          0.        ],[0.5608915 0.9824303 0.       ],[-1.2645392  0.9851531  0.       ],[-1.3771325  0.7223731  0.       ],[-0.98373324  1.          0.        ],[-0.7292598  1.         0.       ]
