TrajectoryID,Stage,Patient,AUTOPHAGY,CELL CYCLE,CELL-CELL COMMUNICATION,CELLULAR RESPONSES TO STIMULI,CHROMATIN ORGANIZATION,CIRCADIAN CLOCK,DEVELOPMENTAL BIOLOGY,DNA REPAIR,DNA REPLICATION,DRUG ADME,EXTRACELLULAR MATRIX ORGANIZATION,HEMOSTASIS,METABOLISM OF RNA,MUSCLE CONTRACTION,NEURONAL SYSTEM,ORGANELLE BIOGENESIS AND MAINTENANCE,PROGRAMMED CELL DEATH,PROTEIN LOCALIZATION,REPRODUCTION,SENSORY PERCEPTION,TRANSPORT OF SMALL MOLECULES,VESICLE-MEDIATED TRANSPORT
4,2,TCGA-GM-A5PX-01,[0.6873545 0.9297798 0.       ],[-0.5548732  1.         0.       ],[-1.1465437  1.         0.       ],[-0.34709805  1.          0.        ],[-0.4836945  1.         0.       ],[-0.8780368  1.         0.       ],[-0.86932987  1.          0.        ],[-0.4154885  1.         0.       ],[0.86505765 1.         0.        ],[-0.7956207  1.         0.       ],[-0.91473585  1.          0.        ],[-0.41200405  1.          0.        ],[0.79455364 1.         0.        ],[-1.1890157  1.         0.       ],[-1.0989528  1.         0.       ],[-0.32528695  1.          0.        ],[-0.6019602  1.         0.       ],[-0.249754  1.        0.      ],[-1.0722983  1.         0.       ],[-1.0264441  1.         0.       ],[-1.1000514  1.         0.       ],[-0.6609406  1.         0.       ]
4,3,TCGA-A2-A0CK-01,[0.7997143 1.        0.       ],[2.5573847 0.        1.       ],[-1.7964289   0.06518151  0.        ],[-0.36407894  0.9998042   0.        ],[-0.7387171  1.         0.       ],[-1.1674132   0.55887985  0.        ],[-0.93019915  0.8885901   0.        ],[1.665997   0.01280469 1.        ],[1.7559941  0.00621352 1.        ],[-1.583311    0.19566111  0.        ],[-0.7735035  1.         0.       ],[-0.623388  1.        0.      ],[1.1616269  0.33935133 0.        ],[-1.0027386  0.8329288  0.       ],[-1.3361064  0.4099957  0.       ],[0.6019692 0.9878613 0.       ],[0.67081594 1.         0.        ],[-0.65349793  1.          0.        ],[1.3678062  0.12506661 0.        ],[-1.2040527   0.57540524  0.        ],[-1.5324506   0.18726024  0.        ],[1.0003757 0.6756605 0.       ]
5,2,TCGA-A2-A0ES-01,[-0.7100248  1.         0.       ],[2.101967 0.       1.      ],[1.1851603  0.44718593 0.        ],[-0.8275895  1.         0.       ],[0.49702203 0.9984957  0.        ],[0.7769794 1.        0.       ],[-0.7696083  1.         0.       ],[1.508796   0.07157184 0.        ],[1.6926558  0.02546363 1.        ],[-1.2918737  0.6842954  0.       ],[0.9013194 1.        0.       ],[-0.60697263  1.          0.        ],[0.8415084 1.        0.       ],[-1.346604   0.7789564  0.       ],[-1.0001441  1.         0.       ],[0.73768574 1.         0.        ],[1.0243037 0.7972359 0.       ],[-0.67228776  1.          0.        ],[-0.73626184  1.          0.        ],[-1.5672783   0.31938234  0.        ],[-1.0088642  1.         0.       ],[-0.5951148   0.94226545  0.        ]
5,3,TCGA-A2-A0EW-01,[-1.0242927  1.         0.       ],[1.9116985 0.        1.       ],[-0.8918573  1.         0.       ],[-0.38513222  1.          0.        ],[0.6252975 0.9847741 0.       ],[-0.46058205  1.          0.        ],[-0.7770192  1.         0.       ],[1.6039542  0.02817483 1.        ],[1.4642291  0.07014455 0.        ],[-1.0835729  1.         0.       ],[1.1979324 0.2986293 0.       ],[1.181611   0.27441585 0.        ],[-0.5733407  1.         0.       ],[-0.96628493  1.          0.        ],[1.1996397  0.36970934 0.        ],[-0.32686937  1.          0.        ],[-0.36660704  1.          0.        ],[-0.47681046  1.          0.        ],[0.94507766 0.63852775 0.        ],[-1.3869666  1.         0.       ],[-1.2596194  1.         0.       ],[1.07652   0.4146992 0.       ]
6,2,TCGA-A2-A0YK-01,[-1.017218    0.72149247  0.        ],[1.9033549 0.        1.       ],[0.7553712 1.        0.       ],[0.4234717 0.9998452 0.       ],[0.6625752 1.        0.       ],[0.51482403 1.         0.        ],[0.7210732 1.        0.       ],[1.4106652  0.17847809 0.        ],[1.4276668  0.22410342 0.        ],[-0.5352102   0.98362285  0.        ],[1.2229613  0.48610926 0.        ],[1.4010441  0.14607808 0.        ],[0.672566 1.       0.      ],[0.8550116 1.        0.       ],[1.0641246  0.75718224 0.        ],[0.7360975 1.        0.       ],[1.0973083  0.85644466 0.        ],[-0.69743484  1.          0.        ],[0.9893579 0.9299861 0.       ],[-1.4306096   0.31601024  0.        ],[-1.0467285  0.9854957  0.       ],[1.0821794 0.7935579 0.       ]
6,3,TCGA-A2-A0EW-01,[-1.0242927  1.         0.       ],[1.9116985 0.        1.       ],[-0.8918573  1.         0.       ],[-0.38513222  1.          0.        ],[0.6252975 0.9847741 0.       ],[-0.46058205  1.          0.        ],[-0.7770192  1.         0.       ],[1.6039542  0.02817483 1.        ],[1.4642291  0.07014455 0.        ],[-1.0835729  1.         0.       ],[1.1979324 0.2986293 0.       ],[1.181611   0.27441585 0.        ],[-0.5733407  1.         0.       ],[-0.96628493  1.          0.        ],[1.1996397  0.36970934 0.        ],[-0.32686937  1.          0.        ],[-0.36660704  1.          0.        ],[-0.47681046  1.          0.        ],[0.94507766 0.63852775 0.        ],[-1.3869666  1.         0.       ],[-1.2596194  1.         0.       ],[1.07652   0.4146992 0.       ]
7,2,TCGA-AC-A8OS-01,[-0.9077626  1.         0.       ],[1.6830916  0.01817441 1.        ],[-0.9187336  1.         0.       ],[-0.65912676  1.          0.        ],[-0.30713907  1.          0.        ],[-1.3570225  1.         0.       ],[0.70059043 1.         0.        ],[1.3757387  0.25718167 0.        ],[1.0767642 1.        0.       ],[0.7279818 1.        0.       ],[0.8689956 1.        0.       ],[0.8618053 1.        0.       ],[-0.38011682  1.          0.        ],[0.8668152 1.        0.       ],[0.9720762 1.        0.       ],[0.3689509  0.99987864 0.        ],[-0.5312852  1.         0.       ],[-0.79001683  1.          0.        ],[1.108323 1.       0.      ],[-0.9714306  1.         0.       ],[-0.9093347  1.         0.       ],[0.83471906 1.         0.        ]
7,3,TCGA-A2-A0EW-01,[-1.0242927  1.         0.       ],[1.9116985 0.        1.       ],[-0.8918573  1.         0.       ],[-0.38513222  1.          0.        ],[0.6252975 0.9847741 0.       ],[-0.46058205  1.          0.        ],[-0.7770192  1.         0.       ],[1.6039542  0.02817483 1.        ],[1.4642291  0.07014455 0.        ],[-1.0835729  1.         0.       ],[1.1979324 0.2986293 0.       ],[1.181611   0.27441585 0.        ],[-0.5733407  1.         0.       ],[-0.96628493  1.          0.        ],[1.1996397  0.36970934 0.        ],[-0.32686937  1.          0.        ],[-0.36660704  1.          0.        ],[-0.47681046  1.          0.        ],[0.94507766 0.63852775 0.        ],[-1.3869666  1.         0.       ],[-1.2596194  1.         0.       ],[1.07652   0.4146992 0.       ]
8,2,TCGA-AR-A2LN-01,[0.70664454 1.         0.        ],[-0.54626876  1.          0.        ],[-1.0928898  1.         0.       ],[-0.47793746  1.          0.        ],[-0.37289917  1.          0.        ],[-0.3640145  1.         0.       ],[-1.203238  1.        0.      ],[-0.30721432  0.99990904  0.        ],[-0.68879676  1.          0.        ],[0.4798907 0.9980971 0.       ],[1.0781478 1.        0.       ],[1.0790284 1.        0.       ],[-1.5658568   0.30746016  0.        ],[0.9543281 1.        0.       ],[1.2013776 1.        0.       ],[0.74364036 1.         0.        ],[0.77879244 1.         0.        ],[-0.91602343  1.          0.        ],[-1.147015  1.        0.      ],[-1.0510381   0.92634594  0.        ],[0.8530754 1.        0.       ],[1.0232956 1.        0.       ]
8,3,TCGA-A2-A0EW-01,[-1.0242927  1.         0.       ],[1.9116985 0.        1.       ],[-0.8918573  1.         0.       ],[-0.38513222  1.          0.        ],[0.6252975 0.9847741 0.       ],[-0.46058205  1.          0.        ],[-0.7770192  1.         0.       ],[1.6039542  0.02817483 1.        ],[1.4642291  0.07014455 0.        ],[-1.0835729  1.         0.       ],[1.1979324 0.2986293 0.       ],[1.181611   0.27441585 0.        ],[-0.5733407  1.         0.       ],[-0.96628493  1.          0.        ],[1.1996397  0.36970934 0.        ],[-0.32686937  1.          0.        ],[-0.36660704  1.          0.        ],[-0.47681046  1.          0.        ],[0.94507766 0.63852775 0.        ],[-1.3869666  1.         0.       ],[-1.2596194  1.         0.       ],[1.07652   0.4146992 0.       ]
9,2,TCGA-AR-A2LQ-01,[-0.84477806  1.          0.        ],[2.0266738 0.        1.       ],[-0.6873529  1.         0.       ],[0.62882555 1.         0.        ],[-0.39476308  0.9995405   0.        ],[0.40359476 0.999875   0.        ],[-0.7861693  1.         0.       ],[1.4712003 0.0656115 0.       ],[1.3901246  0.09552508 0.        ],[-0.99745655  1.          0.        ],[1.6931593  0.00899185 1.        ],[-0.7893703  1.         0.       ],[-0.7462933  1.         0.       ],[-0.7246818  1.         0.       ],[1.3815168  0.08137609 0.        ],[0.50984055 1.         0.        ],[-0.5725446  1.         0.       ],[-1.7906617   0.04381695 -1.        ],[-1.0117512  1.         0.       ],[-0.9845775  1.         0.       ],[0.8358884 1.        0.       ],[-1.2066419  1.         0.       ]
9,3,TCGA-A2-A0EW-01,[-1.0242927  1.         0.       ],[1.9116985 0.        1.       ],[-0.8918573  1.         0.       ],[-0.38513222  1.          0.        ],[0.6252975 0.9847741 0.       ],[-0.46058205  1.          0.        ],[-0.7770192  1.         0.       ],[1.6039542  0.02817483 1.        ],[1.4642291  0.07014455 0.        ],[-1.0835729  1.         0.       ],[1.1979324 0.2986293 0.       ],[1.181611   0.27441585 0.        ],[-0.5733407  1.         0.       ],[-0.96628493  1.          0.        ],[1.1996397  0.36970934 0.        ],[-0.32686937  1.          0.        ],[-0.36660704  1.          0.        ],[-0.47681046  1.          0.        ],[0.94507766 0.63852775 0.        ],[-1.3869666  1.         0.       ],[-1.2596194  1.         0.       ],[1.07652   0.4146992 0.       ]
10,2,TCGA-OL-A6VQ-01,[-0.5986388  1.         0.       ],[1.2070942  0.60495925 0.        ],[0.77456546 1.         0.        ],[0.58119243 1.         0.        ],[0.5640908 1.        0.       ],[0.46782792 0.99882394 0.        ],[-0.60754937  1.          0.        ],[1.6182607  0.07984512 0.        ],[1.4923836  0.13194047 0.        ],[-1.2866158   0.75949025  0.        ],[-0.7703729  1.         0.       ],[0.84947634 1.         0.        ],[-1.0674173  1.         0.       ],[-1.0291942   0.97402006  0.        ],[-0.93115336  1.          0.        ],[0.62826777 1.         0.        ],[0.5943172 1.        0.       ],[-0.5636675   0.93957525  0.        ],[-1.5167736   0.14052884  0.        ],[-1.2364093  0.7081977  0.       ],[-1.2085198   0.63721097  0.        ],[-0.69981635  1.          0.        ]
10,3,TCGA-A2-A0EW-01,[-1.0242927  1.         0.       ],[1.9116985 0.        1.       ],[-0.8918573  1.         0.       ],[-0.38513222  1.          0.        ],[0.6252975 0.9847741 0.       ],[-0.46058205  1.          0.        ],[-0.7770192  1.         0.       ],[1.6039542  0.02817483 1.        ],[1.4642291  0.07014455 0.        ],[-1.0835729  1.         0.       ],[1.1979324 0.2986293 0.       ],[1.181611   0.27441585 0.        ],[-0.5733407  1.         0.       ],[-0.96628493  1.          0.        ],[1.1996397  0.36970934 0.        ],[-0.32686937  1.          0.        ],[-0.36660704  1.          0.        ],[-0.47681046  1.          0.        ],[0.94507766 0.63852775 0.        ],[-1.3869666  1.         0.       ],[-1.2596194  1.         0.       ],[1.07652   0.4146992 0.       ]
11,2,TCGA-A2-A0EX-01,[0.6993576 0.9450083 0.       ],[1.6938272  0.01714548 1.        ],[-1.0585793  1.         0.       ],[1.0985361 0.6457973 0.       ],[0.92752033 1.         0.        ],[-0.7803321  1.         0.       ],[-0.8673197  1.         0.       ],[1.6849643  0.01326406 1.        ],[1.852566 0.       1.      ],[-0.48354667  1.          0.        ],[-0.9090031  1.         0.       ],[-0.5940615  1.         0.       ],[-0.83046067  1.          0.        ],[-1.2647889  0.9015549  0.       ],[-0.9741541  1.         0.       ],[0.9137754 0.9469743 0.       ],[0.7920106 0.9712638 0.       ],[-0.3692055  0.9997041  0.       ],[-1.1517787  0.8857966  0.       ],[-1.2607356  0.6157141  0.       ],[-1.4011755   0.65253836  0.        ],[0.9095849 0.8215682 0.       ]
