TrajectoryID,Stage,Patient,AUTOPHAGY,CELL CYCLE,CELL-CELL COMMUNICATION,CELLULAR RESPONSES TO STIMULI,CHROMATIN ORGANIZATION,CIRCADIAN CLOCK,DEVELOPMENTAL BIOLOGY,DNA REPAIR,DNA REPLICATION,DRUG ADME,EXTRACELLULAR MATRIX ORGANIZATION,HEMOSTASIS,METABOLISM OF RNA,MUSCLE CONTRACTION,NEURONAL SYSTEM,ORGANELLE BIOGENESIS AND MAINTENANCE,PROGRAMMED CELL DEATH,PROTEIN LOCALIZATION,REPRODUCTION,SENSORY PERCEPTION,TRANSPORT OF SMALL MOLECULES,VESICLE-MEDIATED TRANSPORT
119,3,TCGA-A2-A0CL-01,[-0.59190756  1.          0.        ],[2.3445697 0.        1.       ],[0.6635058 1.        0.       ],[0.8449525 1.        0.       ],[0.5694395 0.9946014 0.       ],[-0.5387125  1.         0.       ],[-0.93213344  0.88471496  0.        ],[1.7740967  0.00191498 1.        ],[1.9465415 0.        1.       ],[0.67569876 1.         0.        ],[0.8877364 1.        0.       ],[1.1417919  0.75701535 0.        ],[0.91787755 1.         0.        ],[-1.2495133  1.         0.       ],[-1.010451  1.        0.      ],[0.7883282 1.        0.       ],[1.0299315  0.79294276 0.        ],[-0.46089336  0.9984365   0.        ],[1.0786885 0.8673622 0.       ],[-0.99401766  0.8974944   0.        ],[-1.1853045   0.83942574  0.        ],[1.0463415 0.8521716 0.       ]
120,2,TCGA-B6-A0RS-01,[-0.8597535  1.         0.       ],[2.9030616 0.        1.       ],[-1.5067575   0.38542843  0.        ],[1.2118231  0.24782732 0.        ],[0.83160824 0.93778586 0.        ],[-0.74628395  1.          0.        ],[-1.090651  1.        0.      ],[2.1136675 0.        1.       ],[2.3165107 0.        1.       ],[-0.7459215  1.         0.       ],[-0.5451923  1.         0.       ],[-0.483373  1.        0.      ],[-0.80540454  1.          0.        ],[-1.266019    0.66932595  0.        ],[-1.2966297   0.84056836  0.        ],[-0.45234036  0.9976971   0.        ],[0.7945463 0.8584407 0.       ],[-0.4569899  1.         0.       ],[-1.1920718   0.77765626  0.        ],[-1.0463495  1.         0.       ],[-1.0431762  0.8771162  0.       ],[0.9277124 0.8503954 0.       ]
120,3,TCGA-A2-A0T1-01,[-0.6616701  1.         0.       ],[2.5537815 0.        1.       ],[-1.4471002   0.27597955  0.        ],[0.88291764 0.8659531  0.        ],[0.38806355 1.         0.        ],[-0.8506076  0.9794685  0.       ],[-1.0902344   0.84499323  0.        ],[1.683879   0.00977009 1.        ],[2.201069 0.       1.      ],[-0.66435784  1.          0.        ],[0.89785665 0.92360955 0.        ],[1.176644  0.5158199 0.       ],[1.1583642 0.4605833 0.       ],[-1.4765259   0.46115994  0.        ],[-0.9284664   0.94616437  0.        ],[0.64266086 1.         0.        ],[1.0354742 0.6589781 0.       ],[-0.39999774  0.99961877  0.        ],[-1.0631614   0.75155807  0.        ],[1.0011798 0.6833049 0.       ],[-1.2887745   0.46434787  0.        ],[1.0535103 0.706113  0.       ]
121,2,TCGA-BH-A0AW-01,[-0.6796421   0.97445214  0.        ],[2.26745 0.      1.     ],[-1.1687851  0.6887075  0.       ],[0.8262861 0.9420982 0.       ],[0.86749953 0.9556116  0.        ],[-0.88551617  0.94352424  0.        ],[-0.9661312  0.8963063  0.       ],[1.8439342  0.00319285 1.        ],[1.9827136 0.        1.       ],[1.0359137 0.704292  0.       ],[0.7698114 0.9545576 0.       ],[1.250958  0.3070088 0.       ],[1.433245   0.10005133 0.        ],[-1.5068874   0.16131307  0.        ],[-1.2038176  0.7428582  0.       ],[-0.8009648   0.95746946  0.        ],[0.89170665 1.         0.        ],[0.6046973 0.9855439 0.       ],[-1.0901333  0.812704   0.       ],[-1.2883208   0.65164566  0.        ],[-1.0793124   0.71028316  0.        ],[-0.49439284  0.9852695   0.        ]
121,3,TCGA-A2-A0T1-01,[-0.6616701  1.         0.       ],[2.5537815 0.        1.       ],[-1.4471002   0.27597955  0.        ],[0.88291764 0.8659531  0.        ],[0.38806355 1.         0.        ],[-0.8506076  0.9794685  0.       ],[-1.0902344   0.84499323  0.        ],[1.683879   0.00977009 1.        ],[2.201069 0.       1.      ],[-0.66435784  1.          0.        ],[0.89785665 0.92360955 0.        ],[1.176644  0.5158199 0.       ],[1.1583642 0.4605833 0.       ],[-1.4765259   0.46115994  0.        ],[-0.9284664   0.94616437  0.        ],[0.64266086 1.         0.        ],[1.0354742 0.6589781 0.       ],[-0.39999774  0.99961877  0.        ],[-1.0631614   0.75155807  0.        ],[1.0011798 0.6833049 0.       ],[-1.2887745   0.46434787  0.        ],[1.0535103 0.706113  0.       ]
122,2,TCGA-C8-A26X-01,[-0.40903252  0.99938756  0.        ],[2.399388 0.       1.      ],[-0.7907145  1.         0.       ],[1.0473206  0.62267417 0.        ],[0.72059387 1.         0.        ],[-0.6004761  1.         0.       ],[-0.9570097  1.         0.       ],[1.786046  0.0021419 1.       ],[2.1403263 0.        1.       ],[0.69102883 1.         0.        ],[-0.75701827  1.          0.        ],[0.98972195 0.63739294 0.        ],[1.3206913 0.2078325 0.       ],[-1.5708476   0.15732004  0.        ],[-1.0976373  1.         0.       ],[0.6386057  0.97436297 0.        ],[1.0905434  0.57587975 0.        ],[1.016726  0.6324279 0.       ],[1.2506838  0.27106988 0.        ],[-1.2096354  1.         0.       ],[-0.9340797  1.         0.       ],[-0.7048518  1.         0.       ]
122,3,TCGA-A2-A0T1-01,[-0.6616701  1.         0.       ],[2.5537815 0.        1.       ],[-1.4471002   0.27597955  0.        ],[0.88291764 0.8659531  0.        ],[0.38806355 1.         0.        ],[-0.8506076  0.9794685  0.       ],[-1.0902344   0.84499323  0.        ],[1.683879   0.00977009 1.        ],[2.201069 0.       1.      ],[-0.66435784  1.          0.        ],[0.89785665 0.92360955 0.        ],[1.176644  0.5158199 0.       ],[1.1583642 0.4605833 0.       ],[-1.4765259   0.46115994  0.        ],[-0.9284664   0.94616437  0.        ],[0.64266086 1.         0.        ],[1.0354742 0.6589781 0.       ],[-0.39999774  0.99961877  0.        ],[-1.0631614   0.75155807  0.        ],[1.0011798 0.6833049 0.       ],[-1.2887745   0.46434787  0.        ],[1.0535103 0.706113  0.       ]
123,2,TCGA-OL-A66P-01,[-0.45979992  1.          0.        ],[2.1989229 0.        1.       ],[-1.3094748  0.6890278  0.       ],[1.1801821  0.33050293 0.        ],[-0.8082487  1.         0.       ],[-0.94867796  1.          0.        ],[-0.96705765  1.          0.        ],[1.3509908  0.18748291 0.        ],[1.9185358 0.        1.       ],[1.0125061  0.62196565 0.        ],[0.7116186 0.9121438 0.       ],[-0.53201336  1.          0.        ],[1.7020159  0.01719309 1.        ],[-1.2148236  0.6083408  0.       ],[-1.2790966  0.5569215  0.       ],[-0.70486623  1.          0.        ],[0.89025956 0.8377358  0.        ],[0.82466584 0.87402266 0.        ],[1.2940085 0.2187675 0.       ],[-0.80914515  1.          0.        ],[-1.3478035  1.         0.       ],[-0.44379523  0.99520266  0.        ]
123,3,TCGA-A2-A0T1-01,[-0.6616701  1.         0.       ],[2.5537815 0.        1.       ],[-1.4471002   0.27597955  0.        ],[0.88291764 0.8659531  0.        ],[0.38806355 1.         0.        ],[-0.8506076  0.9794685  0.       ],[-1.0902344   0.84499323  0.        ],[1.683879   0.00977009 1.        ],[2.201069 0.       1.      ],[-0.66435784  1.          0.        ],[0.89785665 0.92360955 0.        ],[1.176644  0.5158199 0.       ],[1.1583642 0.4605833 0.       ],[-1.4765259   0.46115994  0.        ],[-0.9284664   0.94616437  0.        ],[0.64266086 1.         0.        ],[1.0354742 0.6589781 0.       ],[-0.39999774  0.99961877  0.        ],[-1.0631614   0.75155807  0.        ],[1.0011798 0.6833049 0.       ],[-1.2887745   0.46434787  0.        ],[1.0535103 0.706113  0.       ]
124,1,TCGA-AO-A03M-01,[0.7772409 0.968497  0.       ],[2.7351758 0.        1.       ],[-0.8380134  0.7960841  0.       ],[1.0195336  0.81743526 0.        ],[0.8324265  0.96813357 0.        ],[-0.63490677  0.96321326  0.        ],[-1.2917998   0.31537268  0.        ],[2.0199347 0.        1.       ],[2.2232735 0.        1.       ],[-1.1067237   0.51601315  0.        ],[-1.2142935   0.37546396  0.        ],[0.8398419 1.        0.       ],[1.5222296  0.05014462 0.        ],[-1.5699937   0.17221509  0.        ],[-1.3367022  0.3236197  0.       ],[-1.0714751   0.44508597  0.        ],[1.0436019 0.8718956 0.       ],[0.41150054 1.         0.        ],[0.96410877 0.90878886 0.        ],[-1.4228323  0.2830748  0.       ],[-1.0994146   0.45653254  0.        ],[0.87099946 1.         0.        ]
